Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
ELEK4,"26,00","33,27","3,62","0,842","0,25%","1,452","5,10","70,89","-150,12","84,56","33,61","1,19%","2,53%","1,94","2,52%","10,87%","0,00","226.327.000,00","0,99","5,69%"
BRGE12,"13,47","33,84","0,75","279,047","0,00%","0,332","0,87","-1,42","1,68","0,86","0,88","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
BRGE3,"13,50","33,91","0,75","279,668","0,00%","0,333","0,87","-1,42","1,69","0,86","0,87","-19.636,90%","1.381,29%","3,06","-50,03%","2,21%","0,00","1.324.180.000,00","0,00","-45,61%"
EMBJ3,"83,44","34,92","3,24","1,497","0,08%","0,924","5,60","13,78","-6,67","14,39","10,86","10,86%","4,30%","1,43","8,82%","9,28%","392.551.000,00","19.070.600.000,00","0,64","14,27%"
CTIP3,"49,50","35,13","8,76","8,248","0,00%","3,774","-71,28","21,15","-14,32","21,42","18,26","38,99%","23,48%","0,85","24,63%","24,94%","0,00","1.486.250.000,00","0,67","13,43%"
ESPA3,"1,10","35,17","0,46","0,370","0,15%","0,177","1,09","2,56","-1,24","6,48","4,12","14,47%","0,92%","1,52","7,81%","1,31%","592.655,00","864.732.000,00","0,98","9,84%"
TNLP3,"27,75","35,39","0,96","0,468","0,00%","0,170","1,76","4,63","-0,45","10,31","10,31","10,12%","-0,07%","1,48","4,58%","2,72%","0,00","13.736.000.000,00","2,02","15,39%"
PRGA4,"75,00","35,47","8,48","1,842","0,00%","1,858","15,04","16,90","-7,16","18,10","12,03","10,90%","5,52%","1,33","20,92%","23,90%","0,00","14.084.100.000,00","1,58","8,12%"
VIGR3,"25,00","36,57","2,55","0,763","0,00%","0,899","11,45","12,39","-5,02","15,20","22,95","6,16%","2,28%","1,26","9,06%","6,98%","0,00","1.593.560.000,00","0,84","54,72%"
PARD3,"20,25","36,76","5,30","2,565","5,22%","2,095","-54,06","17,52","-8,62","18,12","11,99","14,64%","7,00%","0,90","15,26%","14,42%","0,00","1.019.310.000,00","0,53","15,97%"
ELCA3,"24,70","36,81","12,53","2,680","0,00%","1,590","22,19","13,70","-2,89","17,64","14,08","19,57%","9,83%","1,38","13,70%","34,03%","0,00","4.160.960.000,00","4,38","6,83%"
CRIV4,"6,74","37,77","0,66","0,000","3,60%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","1,74%","0,00","1.058.750.000,00","0,00","-0,10%"
DXCO3,"5,22","38,54","0,64","0,521","1,03%","0,238","3,26","10,64","-0,75","23,31","5,69","4,90%","1,63%","1,33","2,61%","1,65%","13.694.000,00","6.744.050.000,00","0,98","0,25%"
ALSC3,"27,75","38,57","2,20","10,717","0,95%","1,202","9,41","19,33","-4,22","17,49","14,08","55,45%","29,30%","5,39","7,03%","5,69%","0,00","2.593.960.000,00","0,00","2,34%"
CRIV3,"6,98","39,11","0,68","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","1,74%","0,00","1.058.750.000,00","0,00","-0,10%"
ELMD3,"31,00","39,74","4,53","3,555","0,63%","1,394","10,24","13,53","-4,49","15,97","11,64","26,26%","11,44%","1,76","13,80%","11,40%","0,00","983.781.000,00","1,45","52,68%"
RHDS3,"0,11","39,98","3,24","0,548","0,00%","0,790","-65,29","7,49","-2,70","10,70","8,06","7,31%","1,17%","0,97","11,80%","8,12%","0,00","272.045.000,00","1,49","4,38%"
